CD_SETOR,CD_MUN,NM_MUN,AREA_KM2,count_total,count_tag_pois,count_name_pois,count_drone_named,sample_poi_names
420080405000024,4200804,Anchieta,31.663083356825062,0,0,0,0,
420090305000003,4200903,Angelina,22.4294709869981,0,0,0,0,
420090305000004,4200903,Angelina,32.094648099870255,0,0,0,0,
420090305000005,4200903,Angelina,33.237276941531306,0,0,0,0,
420090305000006,4200903,Angelina,35.54669954624215,0,0,0,0,
420090305000007,4200903,Angelina,26.24247903730225,0,0,0,0,
420090305000008,4200903,Angelina,38.20994144332118,0,0,0,0,
420090305000010,4200903,Angelina,1.331639794302793,0,0,0,0,
420090305000011,4200903,Angelina,0.696009909674657,0,0,0,0,
420090310000001,4200903,Angelina,0.32128147912404,0,0,0,0,
420090310000002,4200903,Angelina,82.84370182180776,0,0,0,0,
420090310000003,4200903,Angelina,43.245864820162794,0,0,0,0,
420090310000004,4200903,Angelina,74.11033662384263,0,0,0,0,
420090315000003,4200903,Angelina,43.88985276834413,0,0,0,0,
420090315000004,4200903,Angelina,1.374238982267869,0,0,0,0,
420090315000005,4200903,Angelina,0.569467497035118,0,0,0,0,
420090315000006,4200903,Angelina,20.407059914830498,0,0,0,0,
420090315000007,4200903,Angelina,40.129429978716814,0,0,0,0,
420090315000008,4200903,Angelina,3.318620137414486,0,0,0,0,
420100005000001,4201000,Anita Garibaldi,0.521745452706674,0,0,0,0,
420100005000004,4201000,Anita Garibaldi,0.477255506197698,0,0,0,0,
420100005000005,4201000,Anita Garibaldi,0.61842953142386,0,0,0,0,
420100005000006,4201000,Anita Garibaldi,27.681895582362415,0,0,0,0,
420100005000007,4201000,Anita Garibaldi,32.142306955025774,0,0,0,0,
420100005000009,4201000,Anita Garibaldi,25.171135505325704,0,0,0,0,
420100005000010,4201000,Anita Garibaldi,50.23599121856414,0,0,0,0,
420100005000012,4201000,Anita Garibaldi,39.28736201090671,0,0,0,0,
420100005000013,4201000,Anita Garibaldi,32.759536672542595,0,0,0,0,
420100005000014,4201000,Anita Garibaldi,31.76790957314069,0,0,0,0,
420100005000015,4201000,Anita Garibaldi,31.71329033324978,0,0,0,0,
420100005000020,4201000,Anita Garibaldi,0.550557976705728,0,0,0,0,
420100005000023,4201000,Anita Garibaldi,0.136724383095081,0,0,0,0,
420100005000025,4201000,Anita Garibaldi,0.045728070905491,0,0,0,0,
420100005000026,4201000,Anita Garibaldi,0.353893879895611,0,0,0,0,
420100005000027,4201000,Anita Garibaldi,0.139533795826964,0,0,0,0,
420100005000028,4201000,Anita Garibaldi,0.567895937644626,0,0,0,0,
420100005000029,4201000,Anita Garibaldi,0.279458044958411,0,0,0,0,
420100005000030,4201000,Anita Garibaldi,0.42385488829802,0,0,0,0,
