"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"MU";"4119400";"Piraí do Sul (PR)";"60827";"6";"-";"9300";"36100"
"MU";"4119509";"Piraquara (PR)";"783";"-";"-";"125";"495"
"MU";"4119608";"Pitanga (PR)";"67302";"10";"2";"3600";"55800"
"MU";"4119657";"Pitangueiras (PR)";"18438";"-";"-";"8750";"9100"
"MU";"4119707";"Planaltina do Paraná (PR)";"5449";"1230";"-";"600";"750"
"MU";"4119806";"Planalto (PR)";"26662";"1";"-";"3450";"14200"
"MU";"4119905";"Ponta Grossa (PR)";"96057";"4";"-";"5550";"64900"
"MU";"4119954";"Pontal do Paraná (PR)";"123";"90";"-";"-";"-"
"MU";"4120002";"Porecatu (PR)";"15269";"-";"-";"2870";"4100"
"MU";"4120101";"Porto Amazonas (PR)";"10629";"1";"60";"1400";"7550"
"MU";"4120150";"Porto Barreiro (PR)";"22052";"5";"-";"1500";"10300"
"MU";"4120200";"Porto Rico (PR)";"698";"-";"-";"10";"150"
"MU";"4120309";"Porto Vitória (PR)";"3226";"20";"-";"1000";"450"
"MU";"4120333";"Prado Ferreira (PR)";"19530";"-";"-";"8700";"9200"
"MU";"4120358";"Pranchita (PR)";"32137";"1";"-";"5100";"14250"
"MU";"4120408";"Presidente Castelo Branco (PR)";"8848";"-";"-";"1860";"3100"
"MU";"4120507";"Primeiro de Maio (PR)";"45995";"-";"-";"22850";"22950"
"MU";"4120606";"Prudentópolis (PR)";"90700";"45";"-";"11400";"42550"
"MU";"4120655";"Quarto Centenário (PR)";"50928";"-";"-";"25200";"25500"
"MU";"4120705";"Quatiguá (PR)";"3673";"4";"-";"2500";"460"
"MU";"4120804";"Quatro Barras (PR)";"221";"-";"-";"30";"100"
"MU";"4120853";"Quatro Pontes (PR)";"14162";"-";"-";"5770";"8225"
"MU";"4120903";"Quedas do Iguaçu (PR)";"68980";"20";"-";"6500";"35900"
"MU";"4121000";"Querência do Norte (PR)";"33126";"6400";"-";"10400";"14000"
"MU";"4121109";"Quinta do Sol (PR)";"44438";"-";"-";"21000";"22850"
"MU";"4121208";"Quitandinha (PR)";"20272";"2";"8";"2880";"12870"
"MU";"4121257";"Ramilândia (PR)";"8763";"-";"-";"2750";"4600"
"MU";"4121307";"Rancho Alegre (PR)";"24117";"-";"-";"12103";"11242"
"MU";"4121356";"Rancho Alegre D'Oeste (PR)";"37951";"-";"-";"18500";"19300"
"MU";"4121406";"Realeza (PR)";"33118";"1";"-";"4000";"17100"
"MU";"4121505";"Rebouças (PR)";"39339";"8";"-";"3300";"23500"
"MU";"4121604";"Renascença (PR)";"53061";"-";"-";"1900";"27300"
"MU";"4121703";"Reserva (PR)";"41740";"5";"-";"4100";"27050"
"MU";"4121752";"Reserva do Iguaçu (PR)";"27674";"3";"-";"3770";"16980"
"MU";"4121802";"Ribeirão Claro (PR)";"5210";"3";"-";"1520";"1800"
"MU";"4121901";"Ribeirão do Pinhal (PR)";"29326";"9";"-";"11280";"12700"
"MU";"4122008";"Rio Azul (PR)";"34161";"10";"-";"3700";"18800"
"MU";"4122107";"Rio Bom (PR)";"13204";"2";"-";"3150";"6650"
"MU";"4122156";"Rio Bonito do Iguaçu (PR)";"66100";"30";"-";"4000";"31200"
"MU";"4122172";"Rio Branco do Ivaí (PR)";"24812";"1";"-";"7220";"12600"
"MU";"4122206";"Rio Branco do Sul (PR)";"1397";"3";"-";"50";"170"
"MU";"4122305";"Rio Negro (PR)";"16858";"2";"15";"2400";"11385"
"MU";"4122404";"Rolândia (PR)";"62900";"-";"-";"9150";"32500"
"MU";"4122503";"Roncador (PR)";"61811";"-";"-";"8200";"34400"
"MU";"4122602";"Rondon (PR)";"17762";"-";"-";"340";"450"
"MU";"4122651";"Rosário do Ivaí (PR)";"5804";"1";"-";"400";"4200"
"MU";"4122701";"Sabáudia (PR)";"21447";"-";"-";"8850";"11000"
"MU";"4122800";"Salgado Filho (PR)";"6850";"1";"-";"2000";"3330"
"MU";"4122909";"Salto do Itararé (PR)";"8066";"4";"-";"1820";"4100"
"MU";"4123006";"Salto do Lontra (PR)";"24556";"1";"-";"1500";"13100"
"MU";"4123105";"Santa Amélia (PR)";"8274";"-";"-";"1990";"4204"
"MU";"4123204";"Santa Cecília do Pavão (PR)";"10914";"1";"-";"202";"5670"
"MU";"4123303";"Santa Cruz de Monte Castelo (PR)";"15148";"1711";"-";"5300";"6500"
"MU";"4123402";"Santa Fé (PR)";"19867";"-";"-";"6800";"9000"
"MU";"4123501";"Santa Helena (PR)";"55069";"10";"-";"26080";"27895"
"MU";"4123600";"Santa Inês (PR)";"6370";"-";"-";"682";"800"
"MU";"4123709";"Santa Isabel do Ivaí (PR)";"14699";"2622";"-";"4250";"5850"
"MU";"4123808";"Santa Izabel do Oeste (PR)";"31214";"1";"-";"1850";"17150"
"MU";"4123824";"Santa Lúcia (PR)";"9066";"5";"1";"3450";"4203"
"MU";"4123857";"Santa Maria do Oeste (PR)";"32808";"5";"-";"1900";"21700"
"MU";"4123907";"Santa Mariana (PR)";"57009";"20";"-";"22068";"30305"
"MU";"4123956";"Santa Mônica (PR)";"14235";"2250";"-";"3640";"4100"
"MU";"4124004";"Santana do Itararé (PR)";"21647";"5";"-";"4300";"11050"
"MU";"4124020";"Santa Tereza do Oeste (PR)";"36479";"22";"1";"13600";"18850"
"MU";"4124053";"Santa Terezinha de Itaipu (PR)";"32153";"-";"-";"15610";"15900"
"MU";"4124103";"Santo Antônio da Platina (PR)";"35100";"4";"-";"6130";"14800"
"MU";"4124202";"Santo Antônio do Caiuá (PR)";"3283";"-";"-";"15";"72"
"MU";"4124301";"Santo Antônio do Paraíso (PR)";"14597";"8";"-";"1464";"8505"
"MU";"4124400";"Santo Antônio do Sudoeste (PR)";"21738";"1";"-";"1400";"13550"
"MU";"4124509";"Santo Inácio (PR)";"15100";"-";"-";"706";"4150"
"MU";"4124608";"São Carlos do Ivaí (PR)";"17235";"-";"-";"4000";"5500"
"MU";"4124707";"São Jerônimo da Serra (PR)";"37216";"6";"-";"510";"19845"
"MU";"4124806";"São João (PR)";"47381";"-";"-";"1700";"23820"
"MU";"4124905";"São João do Caiuá (PR)";"4826";"-";"-";"-";"-"
"MU";"4125001";"São João do Ivaí (PR)";"40268";"-";"-";"16000";"19700"
"MU";"4125100";"São João do Triunfo (PR)";"27932";"1";"-";"1550";"11720"
"MU";"4125209";"São Jorge d'Oeste (PR)";"24332";"1";"-";"1500";"10950"
"MU";"4125308";"São Jorge do Ivaí (PR)";"53577";"-";"-";"26438";"26623"
"MU";"4125357";"São Jorge do Patrocínio (PR)";"2303";"-";"-";"-";"300"
"MU";"4125407";"São José da Boa Vista (PR)";"29011";"5";"-";"4100";"16600"
"MU";"4125456";"São José das Palmeiras (PR)";"6106";"-";"-";"2690";"2930"
"MU";"4125506";"São José dos Pinhais (PR)";"6618";"-";"-";"1000";"3700"
"MU";"4125555";"São Manoel do Paraná (PR)";"7423";"-";"-";"1700";"2050"
"MU";"4125605";"São Mateus do Sul (PR)";"74274";"35";"-";"4000";"42000"
"MU";"4125704";"São Miguel do Iguaçu (PR)";"96027";"-";"-";"46480";"47300"
"MU";"4125753";"São Pedro do Iguaçu (PR)";"27947";"-";"-";"8500";"14650"
"MU";"4125803";"São Pedro do Ivaí (PR)";"36334";"18";"-";"13300";"16900"
"MU";"4125902";"São Pedro do Paraná (PR)";"3321";"-";"-";"350";"610"
"MU";"4126009";"São Sebastião da Amoreira (PR)";"34468";"-";"-";"4112";"15993"
"MU";"4126108";"São Tomé (PR)";"16453";"-";"-";"3650";"4400"
"MU";"4126207";"Sapopema (PR)";"6908";"20";"-";"55";"3200"
"MU";"4126256";"Sarandi (PR)";"11256";"-";"-";"3534";"6000"
"MU";"4126272";"Saudade do Iguaçu (PR)";"4280";"2";"-";"660";"3000"
"MU";"4126306";"Sengés (PR)";"24005";"3";"-";"2350";"15750"
"MU";"4126355";"Serranópolis do Iguaçu (PR)";"25034";"-";"-";"12980";"11920"
"MU";"4126405";"Sertaneja (PR)";"66486";"-";"-";"33459";"30305"
"MU";"4126504";"Sertanópolis (PR)";"63087";"-";"-";"30515";"31500"
"MU";"4126603";"Siqueira Campos (PR)";"9596";"5";"-";"2080";"3350"
"MU";"4126652";"Sulina (PR)";"10320";"2";"-";"200";"5200"
"MU";"4126678";"Tamarana (PR)";"32131";"32";"-";"7100";"16500"
"MU";"4126702";"Tamboara (PR)";"6157";"-";"-";"50";"604"
"MU";"4126801";"Tapejara (PR)";"21170";"-";"-";"240";"-"
"MU";"4126900";"Tapira (PR)";"8137";"-";"-";"590";"2206"
"MU";"4127007";"Teixeira Soares (PR)";"69664";"4";"-";"5900";"44500"
"MU";"4127106";"Telêmaco Borba (PR)";"793";"-";"-";"50";"400"
"MU";"4127205";"Terra Boa (PR)";"29468";"-";"-";"8500";"14200"
"MU";"4127304";"Terra Rica (PR)";"12433";"24";"-";"30";"260"
"MU";"4127403";"Terra Roxa (PR)";"113105";"-";"-";"54000";"58000"
"MU";"4127502";"Tibagi (PR)";"169155";"3";"5";"18700";"99900"
"MU";"4127601";"Tijucas do Sul (PR)";"7516";"2";"-";"2200";"4000"
"MU";"4127700";"Toledo (PR)";"138679";"-";"-";"66500";"70700"
"MU";"4127809";"Tomazina (PR)";"22826";"40";"-";"3190";"13200"
"MU";"4127858";"Três Barras do Paraná (PR)";"23572";"-";"-";"3100";"13350"
"MU";"4127882";"Tunas do Paraná (PR)";"151";"-";"-";"20";"2"
"MU";"4127908";"Tuneiras do Oeste (PR)";"19899";"-";"-";"3500";"3500"
"MU";"4127957";"Tupãssi (PR)";"48006";"-";"1";"24000";"23155"
"MU";"4127965";"Turvo (PR)";"24574";"2";"-";"2360";"16900"
"MU";"4128005";"Ubiratã (PR)";"101973";"-";"-";"49040";"49850"
"MU";"4128104";"Umuarama (PR)";"18971";"-";"-";"840";"2375"
"MU";"4128203";"União da Vitória (PR)";"8412";"15";"-";"800";"4500"
"MU";"4128302";"Uniflor (PR)";"8658";"-";"-";"3090";"3316"
"MU";"4128401";"Uraí (PR)";"23487";"-";"-";"8325";"12963"
"MU";"4128500";"Wenceslau Braz (PR)";"27615";"5";"-";"3550";"16200"
"MU";"4128534";"Ventania (PR)";"41007";"7";"-";"6100";"21000"
"MU";"4128559";"Vera Cruz do Oeste (PR)";"40034";"-";"-";"10355";"19715"
"MU";"4128609";"Verê (PR)";"38321";"2";"-";"1500";"17300"
"MU";"4128625";"Alto Paraíso (PR)";"5055";"-";"-";"-";"700"
"MU";"4128633";"Doutor Ulysses (PR)";"7375";"35";"1";"1900";"700"
"MU";"4128658";"Virmond (PR)";"18292";"5";"-";"1100";"9900"
"MU";"4128708";"Vitorino (PR)";"50313";"-";"-";"4600";"24050"
"MU";"4128807";"Xambrê (PR)";"2669";"-";"-";"-";"735"
"MU";"4200051";"Abdon Batista (SC)";"5974";"-";"-";"2150";"3270"
"MU";"4200101";"Abelardo Luz (SC)";"69401";"-";"-";"4300";"45500"
"MU";"4200200";"Agrolândia (SC)";"3001";"175";"-";"1250";"800"
"MU";"4200309";"Agronômica (SC)";"4867";"350";"-";"1050";"1800"
"MU";"4200408";"Água Doce (SC)";"29920";"-";"365";"4050";"23200"
"MU";"4200507";"Águas de Chapecó (SC)";"3264";"-";"-";"800";"1300"
"MU";"4200556";"Águas Frias (SC)";"2279";"-";"-";"760";"1000"
"MU";"4200606";"Águas Mornas (SC)";"416";"-";"-";"125";"-"
"MU";"4200705";"Alfredo Wagner (SC)";"8092";"128";"-";"3100";"550"
"MU";"4200754";"Alto Bela Vista (SC)";"1141";"-";"-";"450";"410"
"MU";"4200804";"Anchieta (SC)";"1954";"-";"-";"500";"1050"
"MU";"4200903";"Angelina (SC)";"2037";"-";"-";"900";"-"
"MU";"4201000";"Anita Garibaldi (SC)";"6503";"-";"-";"2000";"3500"
"MU";"4201109";"Anitápolis (SC)";"366";"1";"-";"150";"-"
"MU";"4201208";"Antônio Carlos (SC)";"433";"-";"-";"3";"-"
"MU";"4201257";"Apiúna (SC)";"926";"35";"-";"428";"-"
"MU";"4201273";"Arabutã (SC)";"757";"-";"-";"350";"10"
"MU";"4201307";"Araquari (SC)";"2882";"2340";"-";"35";"-"
"MU";"4201406";"Araranguá (SC)";"9162";"5527";"-";"950";"600"
"MU";"4201505";"Armazém (SC)";"988";"-";"-";"550";"-"
"MU";"4201604";"Arroio Trinta (SC)";"1920";"-";"-";"1450";"250"
"MU";"4201653";"Arvoredo (SC)";"585";"-";"-";"150";"250"
"MU";"4201703";"Ascurra (SC)";"667";"530";"-";"30";"-"
"MU";"4201802";"Atalanta (SC)";"3359";"-";"-";"800";"1250"
"MU";"4201901";"Aurora (SC)";"5354";"-";"-";"1700";"700"
"MU";"4201950";"Balneário Arroio do Silva (SC)";"...";"...";"...";"...";"..."
"MU";"4202008";"Balneário Camboriú (SC)";"...";"...";"...";"...";"..."
"MU";"4202057";"Balneário Barra do Sul (SC)";"15";"-";"-";"-";"-"
"MU";"4202073";"Balneário Gaivota (SC)";"461";"-";"-";"110";"150"
"MU";"4202081";"Bandeirante (SC)";"2171";"-";"-";"600";"1200"
"MU";"4202099";"Barra Bonita (SC)";"1167";"-";"-";"600";"245"
"MU";"4202107";"Barra Velha (SC)";"1466";"385";"-";"-";"-"
"MU";"4202131";"Bela Vista do Toldo (SC)";"11195";"-";"5";"1000";"6100"
"MU";"4202156";"Belmonte (SC)";"3594";"-";"-";"1650";"1200"
"MU";"4202206";"Benedito Novo (SC)";"823";"328";"-";"395";"-"
"MU";"4202305";"Biguaçu (SC)";"550";"250";"-";"-";"-"
"MU";"4202404";"Blumenau (SC)";"319";"10";"-";"106";"-"
"MU";"4202438";"Bocaina do Sul (SC)";"2729";"-";"-";"400";"1800"
"MU";"4202453";"Bombinhas (SC)";"...";"...";"...";"...";"..."
"MU";"4202503";"Bom Jardim da Serra (SC)";"1739";"-";"1450";"75";"-"
"MU";"4202537";"Bom Jesus (SC)";"5714";"-";"-";"600";"3500"
"MU";"4202578";"Bom Jesus do Oeste (SC)";"3875";"-";"-";"600";"2000"
"MU";"4202602";"Bom Retiro (SC)";"11807";"-";"150";"2000";"8000"
"MU";"4202701";"Botuverá (SC)";"380";"-";"-";"150";"-"
"MU";"4202800";"Braço do Norte (SC)";"823";"-";"-";"450";"-"
"MU";"4202859";"Braço do Trombudo (SC)";"1278";"43";"-";"700";"300"
"MU";"4202875";"Brunópolis (SC)";"11692";"-";"-";"2100";"9230"
"MU";"4202909";"Brusque (SC)";"101";"20";"-";"-";"-"
"MU";"4203006";"Caçador (SC)";"8720";"-";"85";"3250";"3250"
"MU";"4203105";"Caibi (SC)";"2515";"-";"-";"1000";"1100"
"MU";"4203154";"Calmon (SC)";"3358";"-";"-";"1000";"1500"
"MU";"4203204";"Camboriú (SC)";"987";"950";"-";"5";"-"
"MU";"4203253";"Capão Alto (SC)";"13273";"-";"55";"2800";"9000"
"MU";"4203303";"Campo Alegre (SC)";"4438";"-";"-";"1000";"2250"
"MU";"4203402";"Campo Belo do Sul (SC)";"20338";"2";"98";"3200";"14800"
"MU";"4203501";"Campo Erê (SC)";"32898";"-";"-";"2500";"19700"
"MU";"4203600";"Campos Novos (SC)";"90879";"-";"-";"9144";"64000"
"MU";"4203709";"Canelinha (SC)";"240";"150";"-";"17";"-"
"MU";"4203808";"Canoinhas (SC)";"48596";"-";"-";"4800";"29000"
"MU";"4203907";"Capinzal (SC)";"8405";"-";"-";"980";"5200"
"MU";"4203956";"Capivari de Baixo (SC)";"1412";"900";"-";"100";"412"
"MU";"4204004";"Catanduvas (SC)";"1840";"-";"-";"360";"600"
"MU";"4204103";"Caxambu do Sul (SC)";"8583";"-";"-";"2680";"4250"
"MU";"4204152";"Celso Ramos (SC)";"2052";"-";"-";"700";"900"
"MU";"4204178";"Cerro Negro (SC)";"9991";"2";"-";"2400";"6100"
"MU";"4204194";"Chapadão do Lageado (SC)";"4113";"-";"-";"800";"640"
"MU";"4204202";"Chapecó (SC)";"22459";"-";"-";"4050";"10800"
"MU";"4204251";"Cocal do Sul (SC)";"1086";"80";"-";"425";"360"
"MU";"4204301";"Concórdia (SC)";"9843";"-";"-";"5000";"2200"
"MU";"4204350";"Cordilheira Alta (SC)";"691";"-";"-";"190";"320"
"MU";"4204400";"Coronel Freitas (SC)";"4277";"-";"-";"600";"2500"
"MU";"4204459";"Coronel Martins (SC)";"3318";"-";"-";"150";"2700"
"MU";"4204509";"Corupá (SC)";"5414";"59";"-";"40";"-"
"MU";"4204558";"Correia Pinto (SC)";"7296";"-";"126";"900";"5800"
"MU";"4204608";"Criciúma (SC)";"5062";"518";"-";"1200";"1800"
"MU";"4204707";"Cunha Porã (SC)";"9114";"-";"-";"1200";"5200"
"MU";"4204756";"Cunhataí (SC)";"1360";"-";"-";"570";"550"
"MU";"4204806";"Curitibanos (SC)";"28708";"-";"-";"2900";"24100"
"MU";"4204905";"Descanso (SC)";"9721";"-";"-";"3550";"3650"
"MU";"4205001";"Dionísio Cerqueira (SC)";"10503";"-";"-";"700";"7800"
"MU";"4205100";"Dona Emma (SC)";"1473";"12";"-";"750";"100"
"MU";"4205159";"Doutor Pedrinho (SC)";"1355";"844";"-";"146";"300"
"MU";"4205175";"Entre Rios (SC)";"2375";"1";"-";"200";"1800"
"MU";"4205191";"Ermo (SC)";"4484";"3324";"-";"450";"300"
"MU";"4205209";"Erval Velho (SC)";"5787";"-";"-";"2805";"2660"
"MU";"4205308";"Faxinal dos Guedes (SC)";"18886";"-";"-";"1850";"12100"
"MU";"4205357";"Flor do Sertão (SC)";"1083";"-";"-";"370";"550"
"MU";"4205407";"Florianópolis (SC)";"83";"-";"-";"-";"-"
"MU";"4205431";"Formosa do Sul (SC)";"838";"-";"-";"120";"520"
"MU";"4205456";"Forquilhinha (SC)";"12564";"9750";"-";"1400";"1200"
"MU";"4205506";"Fraiburgo (SC)";"17320";"-";"1604";"4500";"8000"
"MU";"4205555";"Frei Rogério (SC)";"6332";"-";"2";"1700";"3800"
"MU";"4205605";"Galvão (SC)";"8614";"-";"-";"500";"5200"
"MU";"4205704";"Garopaba (SC)";"269";"172";"-";"5";"-"
"MU";"4205803";"Garuva (SC)";"2919";"1000";"-";"-";"-"
"MU";"4205902";"Gaspar (SC)";"2921";"2680";"-";"9";"-"
"MU";"4206009";"Governador Celso Ramos (SC)";"17";"-";"-";"-";"-"
"MU";"4206108";"Grão-Pará (SC)";"1823";"2";"-";"425";"-"
"MU";"4206207";"Gravatal (SC)";"558";"200";"-";"5";"318"
"MU";"4206306";"Guabiruba (SC)";"244";"50";"-";"70";"-"
"MU";"4206405";"Guaraciaba (SC)";"10514";"-";"-";"2550";"6250"
"MU";"4206504";"Guaramirim (SC)";"5476";"4700";"-";"80";"-"
"MU";"4206603";"Guarujá do Sul (SC)";"2882";"-";"-";"380";"1890"
"MU";"4206652";"Guatambú (SC)";"8386";"5";"-";"680";"4600"
"MU";"4206702";"Herval d'Oeste (SC)";"1928";"-";"-";"1270";"500"
"MU";"4206751";"Ibiam (SC)";"1872";"-";"-";"1210";"355"
"MU";"4206801";"Ibicaré (SC)";"2994";"-";"-";"2250";"500"
"MU";"4206900";"Ibirama (SC)";"838";"50";"-";"420";"-"
"MU";"4207007";"Içara (SC)";"10160";"2200";"-";"2000";"3000"
"MU";"4207106";"Ilhota (SC)";"3834";"2750";"-";"20";"-"
"MU";"4207205";"Imaruí (SC)";"3196";"2592";"-";"45";"140"
"MU";"4207304";"Imbituba (SC)";"2341";"1890";"-";"30";"95"
"MU";"4207403";"Imbuia (SC)";"5319";"-";"-";"1200";"350"
"MU";"4207502";"Indaial (SC)";"429";"220";"-";"56";"-"
"MU";"4207577";"Iomerê (SC)";"2888";"-";"-";"2050";"450"
"MU";"4207601";"Ipira (SC)";"1543";"-";"-";"850";"340"
"MU";"4207650";"Iporã do Oeste (SC)";"5479";"-";"-";"1700";"2200"
"MU";"4207684";"Ipuaçu (SC)";"15781";"-";"-";"1700";"10300"
"MU";"4207700";"Ipumirim (SC)";"1467";"-";"-";"500";"300"
"MU";"4207759";"Iraceminha (SC)";"6576";"-";"-";"1100";"3400"
"MU";"4207809";"Irani (SC)";"4881";"-";"-";"800";"3400"
"MU";"4207858";"Irati (SC)";"2097";"-";"-";"140";"1780"
"MU";"4207908";"Irineópolis (SC)";"25020";"-";"-";"2900";"14300"
"MU";"4208005";"Itá (SC)";"1205";"-";"-";"300";"550"
"MU";"4208104";"Itaiópolis (SC)";"36553";"-";"14";"5400";"22100"
"MU";"4208203";"Itajaí (SC)";"2013";"1900";"-";"-";"-"
"MU";"4208302";"Itapema (SC)";"21";"-";"-";"-";"-"
"MU";"4208401";"Itapiranga (SC)";"4441";"-";"-";"1365";"2200"
"MU";"4208450";"Itapoá (SC)";"540";"120";"-";"-";"-"
"MU";"4208500";"Ituporanga (SC)";"15990";"-";"-";"3100";"4000"
"MU";"4208609";"Jaborá (SC)";"3824";"-";"-";"1610";"1500"
"MU";"4208708";"Jacinto Machado (SC)";"13352";"8056";"-";"870";"60"
"MU";"4208807";"Jaguaruna (SC)";"6854";"3800";"-";"150";"510"
"MU";"4208906";"Jaraguá do Sul (SC)";"2650";"800";"-";"145";"-"
"MU";"4208955";"Jardinópolis (SC)";"1697";"-";"-";"50";"900"
"MU";"4209003";"Joaçaba (SC)";"4328";"-";"-";"2655";"1400"
"MU";"4209102";"Joinville (SC)";"5526";"3091";"-";"-";"-"
"MU";"4209151";"José Boiteux (SC)";"1663";"3";"-";"480";"-"
"MU";"4209177";"Jupiá (SC)";"3669";"-";"-";"300";"2600"
"MU";"4209201";"Lacerdópolis (SC)";"2730";"-";"-";"2000";"470"
"MU";"4209300";"Lages (SC)";"22607";"-";"-";"4000";"14000"
"MU";"4209409";"Laguna (SC)";"282";"200";"-";"60";"-"
"MU";"4209458";"Lajeado Grande (SC)";"4243";"-";"-";"900";"2400"
"MU";"4209508";"Laurentino (SC)";"708";"32";"-";"400";"20"
"MU";"4209607";"Lauro Müller (SC)";"528";"-";"-";"200";"-"
"MU";"4209706";"Lebon Régis (SC)";"8756";"-";"218";"2196";"4180"
"MU";"4209805";"Leoberto Leal (SC)";"3440";"-";"-";"1000";"-"
"MU";"4209854";"Lindóia do Sul (SC)";"1428";"-";"-";"500";"250"
"MU";"4209904";"Lontras (SC)";"1720";"142";"-";"740";"100"
"MU";"4210001";"Luiz Alves (SC)";"5783";"320";"-";"-";"-"
"MU";"4210035";"Luzerna (SC)";"2522";"-";"-";"1800";"550"
"MU";"4210050";"Macieira (SC)";"1551";"-";"5";"1200";"150"
"MU";"4210100";"Mafra (SC)";"52534";"-";"1";"5600";"34200"
"MU";"4210209";"Major Gercino (SC)";"395";"-";"-";"50";"-"
"MU";"4210308";"Major Vieira (SC)";"19046";"-";"15";"1000";"13700"
"MU";"4210407";"Maracajá (SC)";"2590";"1850";"-";"300";"200"
"MU";"4210506";"Maravilha (SC)";"7281";"-";"-";"1300";"3900"
"MU";"4210555";"Marema (SC)";"1746";"-";"-";"550";"800"
"MU";"4210605";"Massaranduba (SC)";"7649";"5224";"-";"35";"-"
"MU";"4210704";"Matos Costa (SC)";"1860";"-";"-";"1150";"400"
"MU";"4210803";"Meleiro (SC)";"13268";"10975";"-";"1400";"560"
"MU";"4210852";"Mirim Doce (SC)";"1807";"1600";"-";"200";"-"
"MU";"4210902";"Modelo (SC)";"4175";"-";"-";"900";"2000"
"MU";"4211009";"Mondaí (SC)";"2139";"-";"-";"970";"650"
"MU";"4211058";"Monte Carlo (SC)";"3319";"-";"650";"675";"1600"
"MU";"4211108";"Monte Castelo (SC)";"7767";"10";"40";"500";"5600"
"MU";"4211207";"Morro da Fumaça (SC)";"1298";"380";"-";"330";"420"
"MU";"4211256";"Morro Grande (SC)";"4074";"3100";"-";"550";"80"
"MU";"4211306";"Navegantes (SC)";"1065";"879";"-";"-";"-"
"MU";"4211405";"Nova Erechim (SC)";"2105";"-";"-";"400";"1430"
"MU";"4211454";"Nova Itaberaba (SC)";"2127";"-";"-";"800";"800"
"MU";"4211504";"Nova Trento (SC)";"1865";"-";"-";"800";"-"
"MU";"4211603";"Nova Veneza (SC)";"9955";"8800";"-";"900";"100"
"MU";"4211652";"Novo Horizonte (SC)";"4890";"-";"-";"200";"4000"
"MU";"4211702";"Orleans (SC)";"3715";"3";"-";"900";"100"
"MU";"4211751";"Otacílio Costa (SC)";"14183";"-";"-";"400";"13000"
"MU";"4211801";"Ouro (SC)";"3222";"-";"-";"1900";"800"
"MU";"4211850";"Ouro Verde (SC)";"17855";"-";"-";"2000";"9500"
"MU";"4211876";"Paial (SC)";"502";"-";"-";"200";"150"
"MU";"4211892";"Painel (SC)";"1521";"-";"350";"250";"850"
"MU";"4211900";"Palhoça (SC)";"692";"640";"-";"-";"-"
"MU";"4212007";"Palma Sola (SC)";"15514";"-";"-";"1100";"10050"
"MU";"4212056";"Palmeira (SC)";"2725";"-";"-";"300";"2200"
"MU";"4212106";"Palmitos (SC)";"11012";"-";"-";"4500";"4300"
"MU";"4212205";"Papanduva (SC)";"26505";"50";"5";"3800";"15700"
"MU";"4212239";"Paraíso (SC)";"3446";"-";"-";"800";"1900"
"MU";"4212254";"Passo de Torres (SC)";"998";"692";"-";"100";"150"
"MU";"4212270";"Passos Maia (SC)";"10752";"-";"-";"800";"9000"
"MU";"4212304";"Paulo Lopes (SC)";"1419";"1250";"-";"40";"-"
"MU";"4212403";"Pedras Grandes (SC)";"1282";"40";"-";"400";"30"
"MU";"4212502";"Penha (SC)";"35";"-";"-";"-";"-"
"MU";"4212601";"Peritiba (SC)";"792";"-";"-";"500";"80"
"MU";"4212650";"Pescaria Brava (SC)";"225";"-";"-";"2";"-"
"MU";"4212700";"Petrolândia (SC)";"5355";"20";"-";"1600";"1400"
"MU";"4212809";"Balneário Piçarras (SC)";"1200";"220";"-";"-";"-"
"MU";"4212908";"Pinhalzinho (SC)";"7041";"10";"-";"1810";"3800"
"MU";"4213005";"Pinheiro Preto (SC)";"1812";"-";"-";"1000";"250"
"MU";"4213104";"Piratuba (SC)";"1816";"-";"-";"400";"800"
"MU";"4213153";"Planalto Alegre (SC)";"1330";"-";"-";"350";"600"
"MU";"4213203";"Pomerode (SC)";"250";"-";"-";"88";"-"
"MU";"4213302";"Ponte Alta (SC)";"4965";"-";"-";"1100";"3700"
"MU";"4213351";"Ponte Alta do Norte (SC)";"664";"-";"-";"170";"490"
"MU";"4213401";"Ponte Serrada (SC)";"6569";"-";"-";"300";"5900"
"MU";"4213500";"Porto Belo (SC)";"35";"-";"-";"-";"-"
"MU";"4213609";"Porto União (SC)";"10823";"-";"-";"1000";"8600"
"MU";"4213708";"Pouso Redondo (SC)";"4834";"2000";"-";"1100";"650"
"MU";"4213807";"Praia Grande (SC)";"5171";"4536";"-";"150";"30"
"MU";"4213906";"Presidente Castello Branco (SC)";"714";"-";"-";"500";"25"
"MU";"4214003";"Presidente Getúlio (SC)";"3612";"59";"-";"1900";"450"
"MU";"4214102";"Presidente Nereu (SC)";"1694";"-";"-";"680";"-"
"MU";"4214151";"Princesa (SC)";"2458";"-";"-";"1000";"750"
"MU";"4214201";"Quilombo (SC)";"14095";"-";"-";"4200";"7000"
"MU";"4214300";"Rancho Queimado (SC)";"406";"-";"-";"132";"-"
