"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"MU";"1503754";"Jacareacanga (PA)";"5002";"800";"-";"800";"800"
"MU";"1503804";"Jacundá (PA)";"450";"-";"-";"120";"250"
"MU";"1503903";"Juruti (PA)";"5226";"-";"-";"6";"-"
"MU";"1504000";"Limoeiro do Ajuru (PA)";"9861";"5";"-";"18";"-"
"MU";"1504059";"Mãe do Rio (PA)";"3048";"-";"-";"600";"-"
"MU";"1504109";"Magalhães Barata (PA)";"1193";"10";"-";"30";"-"
"MU";"1504208";"Marabá (PA)";"17737";"100";"-";"8945";"540"
"MU";"1504307";"Maracanã (PA)";"2527";"40";"-";"250";"-"
"MU";"1504406";"Marapanim (PA)";"1508";"20";"-";"40";"-"
"MU";"1504422";"Marituba (PA)";"...";"...";"...";"...";"..."
"MU";"1504455";"Medicilândia (PA)";"57764";"15";"-";"2100";"-"
"MU";"1504505";"Melgaço (PA)";"6804";"-";"-";"-";"-"
"MU";"1504604";"Mocajuba (PA)";"18098";"500";"-";"3000";"-"
"MU";"1504703";"Moju (PA)";"42665";"80";"-";"800";"-"
"MU";"1504752";"Mojuí dos Campos (PA)";"94043";"1431";"-";"30500";"60000"
"MU";"1504802";"Monte Alegre (PA)";"15631";"80";"-";"2300";"700"
"MU";"1504901";"Muaná (PA)";"3390";"-";"-";"-";"-"
"MU";"1504950";"Nova Esperança do Piriá (PA)";"10398";"5";"-";"6000";"-"
"MU";"1504976";"Nova Ipixuna (PA)";"1071";"-";"-";"600";"-"
"MU";"1505007";"Nova Timboteua (PA)";"2863";"-";"-";"140";"-"
"MU";"1505031";"Novo Progresso (PA)";"35847";"2000";"-";"4000";"28472"
"MU";"1505064";"Novo Repartimento (PA)";"7566";"100";"-";"148";"-"
"MU";"1505106";"Óbidos (PA)";"8423";"15";"-";"45";"-"
"MU";"1505205";"Oeiras do Pará (PA)";"10726";"175";"-";"84";"-"
"MU";"1505304";"Oriximiná (PA)";"14459";"10";"-";"130";"-"
"MU";"1505403";"Ourém (PA)";"2463";"-";"-";"200";"-"
"MU";"1505437";"Ourilândia do Norte (PA)";"1900";"-";"-";"170";"-"
"MU";"1505486";"Pacajá (PA)";"14611";"300";"-";"1610";"-"
"MU";"1505494";"Palestina do Pará (PA)";"790";"-";"-";"500";"-"
"MU";"1505502";"Paragominas (PA)";"320020";"2900";"-";"37000";"270000"
"MU";"1505536";"Parauapebas (PA)";"5671";"-";"-";"2000";"-"
"MU";"1505551";"Pau D'Arco (PA)";"8275";"-";"-";"3000";"5000"
"MU";"1505601";"Peixe-Boi (PA)";"1321";"-";"-";"350";"-"
"MU";"1505635";"Piçarra (PA)";"3367";"-";"-";"2500";"200"
"MU";"1505650";"Placas (PA)";"22011";"1000";"-";"2000";"2000"
"MU";"1505700";"Ponta de Pedras (PA)";"3365";"-";"-";"-";"-"
"MU";"1505809";"Portel (PA)";"21780";"-";"-";"-";"-"
"MU";"1505908";"Porto de Moz (PA)";"1226";"120";"-";"140";"-"
"MU";"1506005";"Prainha (PA)";"4525";"2000";"-";"100";"-"
"MU";"1506104";"Primavera (PA)";"588";"-";"-";"230";"-"
"MU";"1506112";"Quatipuru (PA)";"833";"-";"-";"40";"-"
"MU";"1506138";"Redenção (PA)";"23330";"55";"-";"9000";"11603"
"MU";"1506161";"Rio Maria (PA)";"3474";"-";"-";"1983";"1151"
